;Location;State
0;Adelaide;South Australia
1;Albany;Western Australia
2;Albury;New South Wales
3;AliceSprings;Northern Territory
4;BadgerysCreek;New South Wales
5;Ballarat;Victoria
6;Bendigo;Victoria
7;Brisbane;Queensland
8;Cairns;Queensland
9;Canberra;New South Wales
10;Cobar;New South Wales
11;CoffsHarbour;New South Wales
12;Dartmoor;Victoria
13;Darwin;Northern Territory
14;GoldCoast;Queensland
15;Hobart;Tasmanie
16;Katherine;Northern Territory
17;Launceston;Tasmanie
18;Melbourne;Victoria
19;MelbourneAirport;Victoria
20;Mildura;Victoria
21;Moree;New South Wales
22;MountGambier;South Australia
23;MountGinini;New South Wales
24;Newcastle;New South Wales
25;Nhil;Victoria
26;NorahHead;New South Wales
27;NorfolkIsland;NorfolkIsland
28;Nuriootpa;South Australia
29;PearceRAAF;Western Australia
30;Penrith;New South Wales
31;Perth;Western Australia
32;PerthAirport;Western Australia
33;Portland;Victoria
34;Richmond;Victoria
35;Sale;Victoria
36;SalmonGums;Western Australia
37;Sydney;New South Wales
38;SydneyAirport;New South Wales
39;Townsville;Queensland
40;Tuggeranong;New South Wales
41;Uluru;Northern Territory
42;WaggaWagga;New South Wales
43;Walpole;Western Australia
44;Watsonia;Victoria
45;Williamtown;New South Wales
46;Witchcliffe;Western Australia
47;Wollongong;New South Wales
48;Woomera;South Australia
